,3,3,3,3,3
0,141.7,92.8,116.7,104.3,96.7
1,139.2,141.7,92.8,116.7,104.3
2,158.0,139.2,141.7,92.8,116.7
3,110.5,158.0,139.2,141.7,92.8
4,126.5,110.5,158.0,139.2,141.7
5,125.8,126.5,110.5,158.0,139.2
6,264.3,125.8,126.5,110.5,158.0
7,142.0,264.3,125.8,126.5,110.5
8,122.2,142.0,264.3,125.8,126.5
9,126.5,122.2,142.0,264.3,125.8
10,148.7,126.5,122.2,142.0,264.3
11,147.2,148.7,126.5,122.2,142.0
12,150.0,147.2,148.7,126.5,122.2
13,166.7,150.0,147.2,148.7,126.5
14,142.3,166.7,150.0,147.2,148.7
15,171.7,142.3,166.7,150.0,147.2
16,152.0,171.7,142.3,166.7,150.0
17,109.5,152.0,171.7,142.3,166.7
18,105.5,109.5,152.0,171.7,142.3
19,125.7,105.5,109.5,152.0,171.7
20,116.7,125.7,105.5,109.5,152.0
21,72.5,116.7,125.7,105.5,109.5
22,75.5,72.5,116.7,125.7,105.5
23,94.0,75.5,72.5,116.7,125.7
24,101.2,94.0,75.5,72.5,116.7
25,84.5,101.2,94.0,75.5,72.5
26,110.5,84.5,101.2,94.0,75.5
27,99.7,110.5,84.5,101.2,94.0
28,39.2,99.7,110.5,84.5,101.2
29,38.7,39.2,99.7,110.5,84.5
30,47.5,38.7,39.2,99.7,110.5
31,73.3,47.5,38.7,39.2,99.7
32,58.3,73.3,47.5,38.7,39.2
33,83.3,58.3,73.3,47.5,38.7
34,118.3,83.3,58.3,73.3,47.5
35,98.8,118.3,83.3,58.3,73.3
36,99.5,98.8,118.3,83.3,58.3
37,66.0,99.5,98.8,118.3,83.3
38,130.7,66.0,99.5,98.8,118.3
39,48.8,130.7,66.0,99.5,98.8
40,45.2,48.8,130.7,66.0,99.5
41,77.7,45.2,48.8,130.7,66.0
42,62.7,77.7,45.2,48.8,130.7
43,66.7,62.7,77.7,45.2,48.8
44,73.3,66.7,62.7,77.7,45.2
45,53.3,73.3,66.7,62.7,77.7
46,76.2,53.3,73.3,66.7,62.7
47,63.3,76.2,53.3,73.3,66.7
48,60.0,63.3,76.2,53.3,73.3
49,52.8,60.0,63.3,76.2,53.3
50,36.7,52.8,60.0,63.3,76.2
51,65.0,36.7,52.8,60.0,63.3
52,46.7,65.0,36.7,52.8,60.0
53,41.7,46.7,65.0,36.7,52.8
54,33.3,41.7,46.7,65.0,36.7
55,11.2,33.3,41.7,46.7,65.0
56,0.0,11.2,33.3,41.7,46.7
57,5.0,0.0,11.2,33.3,41.7
58,2.8,5.0,0.0,11.2,33.3
59,22.8,2.8,5.0,0.0,11.2
60,34.5,22.8,2.8,5.0,0.0
61,44.5,34.5,22.8,2.8,5.0
62,31.3,44.5,34.5,22.8,2.8
63,20.5,31.3,44.5,34.5,22.8
64,13.7,20.5,31.3,44.5,34.5
65,40.2,13.7,20.5,31.3,44.5
66,22.0,40.2,13.7,20.5,31.3
67,7.0,22.0,40.2,13.7,20.5
68,17.0,7.0,22.0,40.2,13.7
69,18.7,17.0,7.0,22.0,40.2
70,11.3,18.7,17.0,7.0,22.0
71,10.8,11.3,18.7,17.0,7.0
72,0.0,10.8,11.3,18.7,17.0
73,0.0,0.0,10.8,11.3,18.7
74,14.3,0.0,0.0,10.8,11.3
